bank_reference,settlement_id,credit_date,credited_amount_paise,currency,bank_status
UTR412271019252,setl_AD6BEA73B09411,2026-07-10,930707,INR,credited
UTR303502202073,setl_DA04BDDEEA102D,2026-07-13,431469,INR,credited
UTR538383206694,setl_C8ED391354DA9E,2026-07-20,806213,INR,credited
UTR630274528773,setl_BB79E898537F26,2026-07-10,488298,INR,credited
UTR750436950421,setl_E0825D0CAD9102,2026-07-08,5272561,INR,credited
UTR730362677588,setl_502859AB396F1E,2026-08-13,2201295,INR,credited
UTR505701895642,setl_522FBFA78964D2,2026-07-27,67371,INR,credited
UTR615590681888,setl_803C3E59514522,2026-08-03,722538,INR,credited
UTR886681633562,setl_08AE2767657982,2026-07-07,203579,INR,credited
UTR894212971360,setl_253BC7E1F84037,2026-07-13,1716023,INR,credited
UTR506621053273,setl_18A4DD704F7E3D,2026-08-13,590040,INR,credited
UTR478245915128,setl_D8260F69C8562F,2026-07-27,594531,INR,credited
UTR192479069463,setl_41F524C9E32276,2026-07-17,369666,INR,credited
UTR179155770360,setl_5C7E2E13F71017,2026-07-24,801430,INR,credited
UTR352870812039,setl_A11ED8B2DCDE9A,2026-07-02,753976,INR,credited
UTR154068922819,setl_9AA4C6407F9D94,2026-07-30,7036718,INR,credited
UTR293073355186,setl_9248515EECED63,2026-07-15,5530623,INR,credited
UTR469826954780,setl_C731AEF739404F,2026-08-10,126348,INR,credited
UTR379710653958,setl_986801E1D2561A,2026-07-27,49506,INR,credited
UTR736581649631,setl_8523B3F99BDB84,2026-08-17,798108,INR,credited
UTR538612520474,setl_4C298A2818BCA7,2026-07-29,76256,INR,credited
UTR363313055345,setl_08D3F0AC37B06F,2026-07-22,390657,INR,credited
UTR882610434788,setl_A0F2F2BCA8405C,2026-08-10,45889,INR,credited
UTR687916614993,setl_E9AFACE267CF11,2026-07-14,2410440,INR,credited
UTR522936857746,setl_D52CCB122F4702,2026-07-24,278861,INR,credited
UTR230510501506,setl_DAD811C57E3BA2,2026-07-13,6267707,INR,credited
UTR568687335400,setl_A87DEB8553BC79,2026-08-06,287552,INR,credited
UTR827378159914,setl_92F262316615A1,2026-07-15,827694,INR,credited
UTR205039703290,setl_FF728025B0ABB5,2026-08-03,551960,INR,credited
UTR528188673782,setl_BF99A37CFC0A5B,2026-07-03,71180,INR,credited
UTR860791320424,setl_5FEEAB0C273EE1,2026-07-13,377769,INR,credited
UTR292913292876,setl_6A04F93A278B9C,2026-07-23,57217,INR,credited
UTR364897558316,setl_59A2440D3E644A,2026-07-09,700958,INR,credited
UTR109956269437,setl_355279034EA64D,2026-07-09,736789,INR,credited
UTR651323835079,setl_B5E2C057F6E894,2026-08-03,3128581,INR,credited
UTR365412805013,setl_95A0C8AC18CD5C,2026-07-20,907272,INR,credited
UTR194970967587,setl_ECDA9FD8F0D338,2026-07-15,933829,INR,credited
UTR169035778610,setl_6B50593E709F23,2026-07-20,744311,INR,credited
UTR819076774605,setl_0A9AEBE30306F5,2026-08-10,34076,INR,credited
UTR816811077924,setl_C454097F3689EC,2026-08-10,1710555,INR,credited
UTR780206255237,setl_43D6295235B625,2026-07-02,702326,INR,credited
UTR134997491017,setl_2BAE2850D51E1C,2026-07-27,1398692,INR,credited
UTR772510888240,setl_251AB48FE4EE89,2026-08-10,76646,INR,credited
UTR745032572252,setl_7D97428558B1F2,2026-07-17,2661861,INR,credited
UTR595048660601,setl_37A4B0CFD9D679,2026-07-14,52337,INR,credited
UTR127432879642,setl_3E81D46DAB685D,2026-07-03,2037943,INR,credited
UTR631010495244,setl_58E77A93D70456,2026-08-05,415265,INR,credited
UTR221068496305,setl_C1BAE379C1FBCD,2026-07-29,2182351,INR,credited
UTR813195258917,setl_A7AD26E24CC464,2026-08-13,255330,INR,credited
UTR382828314404,setl_7EA54ED1490BAD,2026-07-28,552546,INR,credited
UTR500525468121,setl_3B0DBFE7782BAC,2026-07-17,439281,INR,credited
UTR292432635407,setl_77A96F3D8C3884,2026-08-11,1227779,INR,credited
UTR486262915994,setl_97C2BD0011E35C,2026-08-10,165521,INR,credited
UTR346234188004,setl_6930B12C12E53E,2026-07-27,27757,INR,credited
UTR611738061381,setl_D0FD873E67105F,2026-07-07,2480991,INR,credited
UTR893088001534,setl_CE61E447915CF5,2026-07-09,60459,INR,credited
UTR700741231208,setl_6306744D291D4D,2026-07-13,801211,INR,credited
UTR271653554882,setl_9EB0BD13B82360,2026-07-22,320779,INR,credited
UTR149019042537,setl_26733D78AE519B,2026-07-20,286392,INR,credited
UTR777903346794,setl_11695FA2FB6AEA,2026-07-06,444630,INR,credited
UTR738343659781,setl_48CA3E728F908B,2026-08-17,1055186,INR,credited
UTR998035754717,setl_5B9CC0B6EDC524,2026-07-27,19991,INR,credited
UTR300514321728,setl_66266CE6E8102C,2026-07-21,1952132,INR,credited
UTR307701565930,setl_B27B8A32188055,2026-07-07,74108,INR,credited
UTR579803360066,setl_FBABD9C1CA3DB6,2026-07-29,3043731,INR,credited
UTR139390004336,setl_A71B6BD31D4669,2026-07-31,178096,INR,credited
UTR290709826571,setl_FBE0935B02C137,2026-07-28,132009,INR,credited
UTR322605956141,setl_E6727AA9784573,2026-07-28,3441422,INR,credited
UTR383757834244,setl_D32BFD684C3874,2026-07-14,2378023,INR,credited
UTR181712432100,setl_8F09313CB191B9,2026-08-17,739232,INR,credited
UTR359593205623,setl_717CA8FBC4D944,2026-08-10,35640,INR,credited
UTR594218051946,setl_C3B0D00ED844C2,2026-07-30,1039671,INR,credited
UTR750845924219,setl_C236B623775EA9,2026-07-10,476484,INR,credited
UTR553136520824,setl_E2DF05A8FBB5AF,2026-08-11,277981,INR,credited
UTR797266764887,setl_AC49BF0CE2F705,2026-07-23,263432,INR,credited
UTR116609783591,setl_C4D2EA75899C30,2026-08-06,640516,INR,credited
UTR572398345999,setl_6C9A215F54ED3D,2026-07-23,186198,INR,credited
UTR923299224595,setl_B8C1C1C2C78BF1,2026-08-05,703887,INR,credited
UTR157725313515,setl_9AC83E23991396,2026-08-05,2124548,INR,credited
UTR104111728538,setl_9E19C3D8E69CDC,2026-08-03,371130,INR,credited
UTR205184518505,setl_557CD1B5F60F65,2026-08-11,5520468,INR,credited
UTR122944269705,setl_F5CC648DECCF7B,2026-07-08,2209997,INR,credited
UTR451599565931,setl_B6DB5A74D43993,2026-07-21,126547,INR,credited
UTR736385293466,setl_1B19DCA4429E48,2026-08-07,160178,INR,credited
UTR160324306249,setl_CACF18661036F7,2026-08-13,58497,INR,credited
UTR986536210651,setl_D728F8C4CFF6ED,2026-07-30,1787152,INR,credited
UTR510464256524,setl_CCCBF1E808B312,2026-07-31,68653,INR,credited
UTR922102461857,setl_7098B7FD5D5F21,2026-07-27,24512,INR,credited
UTR895847079853,setl_59158DA1F9676A,2026-07-06,4906609,INR,credited
UTR924206187862,setl_C0E0F7EF84B959,2026-08-05,889013,INR,credited
UTR959210938953,setl_B07CCC5407A18D,2026-07-20,2793286,INR,credited
UTR215954804848,setl_0F0AAB4425FBC4,2026-08-08,1254187,INR,credited
UTR834516509264,setl_FDB667E6A04F8F,2026-07-12,105256,INR,credited
UTR466196022992,setl_9227CE611B9D95,2026-07-13,51553,INR,credited
UTR824235597813,setl_589A716D67C342,2026-07-21,229356,INR,credited
UTR498220873666,setl_28A6D3FCB3F317,2026-07-24,536825,INR,credited
UTR892381775004,setl_5EFB511F7BED3E,2026-07-27,1988829,INR,credited
UTR183838174710,setl_431A80FFBCEFA6,2026-08-05,662389,INR,credited
UTR911609831791,setl_2AFC7B703A4FE7,2026-07-14,406378,INR,credited
UTR624002393672,setl_E41A6EA43A6B7B_0,2026-07-27,840779,INR,credited
UTR972819444552,setl_871513A8E60960_1,2026-07-28,840779,INR,credited
UTR969385608365,setl_8B9C72CE843758_0,2026-07-17,565043,INR,credited
UTR270016632008,setl_851841350D2EFF_1,2026-07-16,565043,INR,credited
UTR258305043931,setl_897F2B493976A9_0,2026-07-20,1392349,INR,credited
UTR285777174165,setl_5C15B98983A311_1,2026-07-16,1392349,INR,credited
UTR992548018773,setl_80BEAF060F5158_0,2026-07-21,1540954,INR,credited
UTR412957416274,setl_77402C4EBA5BE2_1,2026-07-20,1540954,INR,credited
UTR903015572903,setl_A97469CE721298_0,2026-08-03,554401,INR,credited
UTR745192538999,setl_97493DAD0F3402_1,2026-08-03,554401,INR,credited
UTR486409558637,setl_A50F8D09AA7D50_0,2026-07-15,949451,INR,credited
UTR287180309734,setl_276A78B0B9DA9E_1,2026-07-14,949451,INR,credited
