payment_id,order_id,settlement_id,transaction_type,payment_date,gross_amount_paise,fee_paise,tax_paise,net_amount_paise,payment_status
pay_742A5486479FBE,order_117065EC355A96,setl_FF0197D356A742,payment,2026-08-14,580400,11607,2089,566704,captured
pay_A3E1D961AAF2C1,order_520742A4CCA1B3,setl_FF4EA7C403419F,payment,2026-07-12,1543600,30872,5556,1507172,captured
pay_13E359EC18A652,order_6B2BD7C5C07325,setl_4DCBAB0D86C149,payment,2026-07-18,658900,13177,2372,643351,captured
pay_D416152B4E7F6E,order_DCA01FB5FF2EE7,setl_40C1F16D8006DA,payment,2026-07-30,1431700,28634,5155,1397911,captured
pay_25036207C806EB,order_3A0F3BE0121103,setl_B9943C21567768,payment,2026-08-07,1846600,36933,6648,1803019,captured
pay_1D51FD81311115,order_C6D4C3B9168CA6,setl_B544554D420027,payment,2026-08-05,499400,9987,1798,487615,captured
pay_7AC1E37D400721,order_7168E1BA0AF640,setl_37DDB2ED597520,payment,2026-07-03,829600,16592,2988,810020,captured
pay_2D3889CC8EB0A7,order_29E15F35F5E569,setl_CC7E03BBD84E66,payment,2026-07-02,2262900,45259,8148,2209493,captured
pay_8DB686C02C48F0,order_4AFB02718EDD67,setl_C5E98B8BF48B4C,payment,2026-08-05,300000,6001,1080,292919,captured
pay_8B77BF3D8B4ACC,order_64190CCC798F82,setl_A43B47B9979501,payment,2026-07-17,600700,12013,2162,586525,captured
pay_9ABAFF981FCD30,order_97EADDCE503BD4,setl_FE74FDFE4A1021,payment,2026-07-27,131900,2637,474,128789,captured
pay_4DA57DA043DEB3,order_860CA379694B29,setl_17AC1E53624712,payment,2026-07-02,859700,17195,3095,839410,captured
pay_8FBFE0EF5AE494,order_CABFEA20CFABCA,setl_A499CD4BF712F9,payment,2026-08-04,1138100,22763,4096,1111241,captured
pay_9B6D748E0B6F56,order_00CCAF1AB7DE26,setl_A3EBE0A9FC3B41,payment,2026-07-09,23400,468,85,22847,captured
pay_D93483CC64B95C,order_AFC0057E085730,setl_7F8E0060C27D64,payment,2026-07-19,2194900,43897,7901,2143102,captured
pay_410A283F832F6C,order_AD39167BF4C4A7,setl_639FEB0014518E,payment,2026-07-17,194900,3898,702,190300,captured
pay_28CFD740048DBB,order_F46AF542E087BD,setl_4CBC922B38EE63,payment,2026-07-26,299500,5990,1078,292432,captured
pay_BB44B8EB518A52,order_D6E083FCBC6037,setl_9119258B53E682,payment,2026-08-09,743600,14872,2678,726050,captured
pay_882F311F6C6C41,order_FC41A1DC659294,setl_372D4BD7FA356A,payment,2026-07-06,733600,14672,2640,716288,captured
pay_78814E6CA169F0,order_B989908F0F3DB7,setl_F9D602D6BAA544,payment,2026-07-22,664300,13286,2391,648623,captured
pay_7B30DFEC24B49E,order_2B2B9605F5F78F,setl_D79EB863B0EC01,payment,2026-07-29,73700,1474,265,71961,captured
pay_ACFF0644E6FE6C,order_0890E3B97BE08A,setl_586F21A51F0DD3,payment,2026-07-25,596200,11924,2147,582129,captured
pay_1CEC40110015A2,order_C12E762FEE283E,setl_30558828BEA6C6,payment,2026-07-17,40000,799,145,39056,captured
pay_79ECBC1D43AC17,order_01A6EA60C0DBC6,setl_58C5EC4F5DE349,payment,2026-07-16,112000,2240,403,109357,captured
pay_AD2EC1A4B52303,order_5E694755D67B05,setl_4D35A42DA767C8,payment,2026-07-31,167300,3346,602,163352,captured
pay_E9BD706BB0A3CD,order_ED0B98B1B63436,setl_2CC7280900E787,payment,2026-07-24,248100,4961,892,242247,captured
pay_1679C94C142A3F,order_E95901FED5CE41,setl_C9FC6E1D1272A1,payment,2026-07-13,48000,960,173,46867,captured
pay_30CF9E90507B47,order_01DA4722A6AC1B,setl_BC34561D7F64AC,payment,2026-07-11,639700,12794,2304,624602,captured
pay_A6A3220A49A0B4,order_251C8B7F7824B0,setl_3F4B8EEA4245D5,payment,2026-07-04,75300,1505,271,73524,captured
pay_D69010799DB4A4,order_5C1E4E6D626C7A,setl_3B91261CC6D20C,payment,2026-08-02,2034400,40687,7324,1986389,captured
pay_BC99C7C3C8EF87,order_570988D1DFE6A3,setl_B4160AFC8DBFA0,payment,2026-07-12,696700,13935,2507,680258,captured
pay_B9277B4104DCD9,order_13138EFF1F92C4,setl_CC14A76F44E712,payment,2026-07-24,78900,1578,283,77039,captured
pay_A8CC4B604F9CB6,order_5ABEC496138183,setl_0AEF08289948A9,payment,2026-08-12,464400,9289,1673,453438,captured
pay_08A0524F1FB158,order_6A942C9F8DB99A,setl_1E82C88FCDA79D,payment,2026-07-13,54000,1080,193,52727,captured
pay_9DF5B9A5AD4D26,order_EDDACCFDC493A5,setl_742967BF9BB72E,payment,2026-08-06,533700,10674,1921,521105,captured
pay_E0FAC9B41BD4B1,order_8308C11BCAFBDF,setl_E719151DDE4B15,payment,2026-07-11,72400,1448,262,70690,captured
pay_0D6054D5992FAD,order_5C7AF339ABCBD8,setl_C0E9EA3232A204,payment,2026-07-24,786900,15737,2833,768330,captured
pay_9C757EE938D69C,order_AB05B83935B18F,setl_BB49117D1A03C4,payment,2026-08-14,858700,17174,3091,838435,captured
pay_5D53C129D9A3DF,order_759323358592E5,setl_60FE9814EFC833,payment,2026-08-09,717000,14341,2581,700078,captured
pay_8305F3B8CB447C,order_27F4A26531D7CC,setl_9B25B9D61AC8E6,payment,2026-07-20,1891200,37825,6808,1846567,captured
pay_5841A8DB3E876F,order_967AAF23DC69BB,setl_AD6BEA73B09411,payment,2026-07-08,953200,19063,3430,930707,captured
pay_7655E5F3AB48B0,order_37EB7C9A4F1B32,setl_DA04BDDEEA102D,payment,2026-07-12,441900,8839,1592,431469,captured
pay_E3DFB091155A6E,order_4C5B3A1BE45697,setl_C8ED391354DA9E,payment,2026-07-15,825700,16514,2973,806213,captured
pay_E5AED4FF6E86B3,order_BB4A46FECB2719,setl_BB79E898537F26,payment,2026-07-09,500100,10002,1800,488298,captured
pay_88BB332DAD8FBF,order_36BB36C10BCB1F,setl_E0825D0CAD9102,payment,2026-07-04,5400000,108000,19439,5272561,captured
pay_2BE0FF4D636E47,order_3F87FD17135FCA,setl_502859AB396F1E,payment,2026-08-12,2254500,45090,8115,2201295,captured
pay_029769862257DB,order_CEAA5A53E7F444,setl_522FBFA78964D2,payment,2026-07-24,69000,1380,249,67371,captured
pay_E842C52785DF6B,order_951C4E77F7C1CB,setl_803C3E59514522,payment,2026-07-30,740000,14799,2663,722538,captured
pay_9477089A91BD9A,order_44ECF5A7ABEE89,setl_08AE2767657982,payment,2026-07-06,208500,4170,751,203579,captured
pay_BC88F4CBE6449F,order_FFC2869373AB70,setl_253BC7E1F84037,payment,2026-07-10,1757500,35149,6328,1716023,captured
pay_91007204714EAD,order_CEEA7CC1781C96,setl_18A4DD704F7E3D,payment,2026-08-10,604300,12085,2175,590040,captured
pay_5784A238022816,order_21FB43FAB06E27,setl_D8260F69C8562F,payment,2026-07-24,608900,12178,2191,594531,captured
pay_B00EC3E253B5AC,order_5A277E628BAA00,setl_41F524C9E32276,payment,2026-07-16,378600,7572,1362,369666,captured
pay_BE224C3227AEC1,order_DF821719E7474B,setl_5C7E2E13F71017,payment,2026-07-21,820800,16415,2955,801430,captured
pay_FFD9063AE3E259,order_8AD33E67B5FE0E,setl_A11ED8B2DCDE9A,payment,2026-07-01,772200,15444,2780,753976,captured
pay_7216FA14B41758,order_BECF2D36A325A7,setl_9AA4C6407F9D94,payment,2026-07-29,7206800,144137,25945,7036718,captured
pay_121019440D350E,order_E6BB189B1732BA,setl_9248515EECED63,payment,2026-07-13,5664300,113286,20391,5530623,captured
pay_5EFE4663B5CD8C,order_6E5718ADF4B66B,setl_C731AEF739404F,payment,2026-08-07,129400,2587,465,126348,captured
pay_90A057998A5BA5,order_65F3DFE9A9AC42,setl_986801E1D2561A,payment,2026-07-23,50700,1013,181,49506,captured
pay_F2154072DA520C,order_42C7BADACEDD80,setl_8523B3F99BDB84,payment,2026-08-14,817400,16348,2944,798108,captured
pay_42999BAD33FF61,order_DA918CB34CEF38,setl_4C298A2818BCA7,payment,2026-07-28,78100,1562,282,76256,captured
pay_AF427C548B1DE8,order_8FEDB77B07028F,setl_08D3F0AC37B06F,payment,2026-07-21,400100,8002,1441,390657,captured
pay_34332C05E3BC68,order_75EC69F01EE725,setl_A0F2F2BCA8405C,payment,2026-08-05,47000,941,170,45889,captured
pay_5D35FC7087EB74,order_1D687F8A43EE9B,setl_E9AFACE267CF11,payment,2026-07-13,2468700,49374,8886,2410440,captured
pay_D4E4166B1AD0A7,order_D8B24AFD7FC69A,setl_D52CCB122F4702,payment,2026-07-23,285600,5711,1028,278861,captured
pay_A910205D956730,order_1E2B90F442BB1F,setl_DAD811C57E3BA2,payment,2026-07-11,6419200,128384,23109,6267707,captured
pay_D3A8E4B6607996,order_01B3DEBD94652F,setl_A87DEB8553BC79,payment,2026-08-04,294500,5889,1059,287552,captured
pay_64F624500C7347,order_09BAAEC142A4CC,setl_92F262316615A1,payment,2026-07-14,847700,16953,3053,827694,captured
pay_5BBF1508235DC6,order_55F9C2F80F8CA8,setl_FF728025B0ABB5,payment,2026-07-31,565300,11305,2035,551960,captured
pay_75ABCF10D9A467,order_C68B567FE09846,setl_BF99A37CFC0A5B,payment,2026-07-02,72900,1458,262,71180,captured
pay_0291E44B977464,order_50763FA59F36C6,setl_5FEEAB0C273EE1,payment,2026-07-12,386900,7739,1392,377769,captured
pay_03965662F13A71,order_BE1503B77C13FD,setl_6A04F93A278B9C,payment,2026-07-21,58600,1172,211,57217,captured
pay_9278D956849A5B,order_6F3D71804B0933,setl_59A2440D3E644A,payment,2026-07-07,717900,14358,2584,700958,captured
pay_CC6102978137A6,order_F3801BE1E807B7,setl_355279034EA64D,payment,2026-07-08,754600,15093,2718,736789,captured
pay_6DD5B2AA2EF2EF,order_C5D5B4590E189E,setl_B5E2C057F6E894,payment,2026-08-01,3204200,64084,11535,3128581,captured
pay_E3301A6FE0606B,order_ACAF107D7D53B5,setl_95A0C8AC18CD5C,payment,2026-07-17,929200,18584,3344,907272,captured
pay_8947B000BF90F6,order_1C3EB5F024F37F,setl_ECDA9FD8F0D338,payment,2026-07-14,956400,19128,3443,933829,captured
pay_6A87C545AF74F7,order_5795FF0D726925,setl_6B50593E709F23,payment,2026-07-18,762300,15246,2743,744311,captured
pay_847F1AA02763BE,order_0F868E5FE7DED5,setl_0A9AEBE30306F5,payment,2026-08-08,34900,698,126,34076,captured
pay_0DAEB0D912E7AF,order_A537F1C0A9421E,setl_C454097F3689EC,payment,2026-08-06,1751900,35038,6307,1710555,captured
pay_C2CB0D810AD6F8,order_F3127800DA1680,setl_43D6295235B625,payment,2026-07-01,719300,14386,2588,702326,captured
pay_EA21BFEAE4E1FA,order_5083E41D1053CF,setl_2BAE2850D51E1C,payment,2026-07-24,1432500,28650,5158,1398692,captured
pay_09C4D42A110E15,order_1299DA2F4FED10,setl_251AB48FE4EE89,payment,2026-08-09,78500,1570,284,76646,captured
pay_A97F538FF31F70,order_21924340DF82DC,setl_7D97428558B1F2,payment,2026-07-16,2726200,54524,9815,2661861,captured
pay_2B249E85FDFDD0,order_50A4E0295078D4,setl_37A4B0CFD9D679,payment,2026-07-12,53600,1071,192,52337,captured
pay_D3FEF00B5C5CA9,order_F8840F3F86C1DD,setl_3E81D46DAB685D,payment,2026-07-02,2087200,41744,7513,2037943,captured
pay_D084C1843CB629,order_CDCDB3F6D16F57,setl_58E77A93D70456,payment,2026-08-04,425300,8505,1530,415265,captured
pay_8EC08D945940CF,order_1EDB7B50A414BC,setl_C1BAE379C1FBCD,payment,2026-07-27,2235100,44703,8046,2182351,captured
pay_89784BB8A93B63,order_BABC54BF2DAE0B,setl_A7AD26E24CC464,payment,2026-08-12,261500,5229,941,255330,captured
pay_8147C36449DC35,order_DD1308E96596C2,setl_7EA54ED1490BAD,payment,2026-07-27,565900,11318,2036,552546,captured
pay_0235DCB470DDCD,order_66EA02CE45B607,setl_3B0DBFE7782BAC,payment,2026-07-15,449900,8998,1621,439281,captured
pay_D9DB7589F2B402,order_F4E5CC8F2532C1,setl_77A96F3D8C3884,payment,2026-08-09,1581400,31628,5693,1544079,captured
pay_90BA0587F0A08B,order_FF6F655FA0D7C9,setl_97C2BD0011E35C,payment,2026-08-05,227900,4558,821,222521,captured
pay_2FDB38908532E8,order_F5136938716A29,setl_6930B12C12E53E,payment,2026-07-26,35700,714,129,34857,captured
pay_2E969F038E5BE4,order_7F9E12A61E53A0,setl_D0FD873E67105F,payment,2026-07-06,2830900,56618,10191,2764091,captured
pay_7611C958255F3E,order_6CEABDAAF0C274,setl_CE61E447915CF5,payment,2026-07-08,77900,1559,282,76059,captured
pay_A0B86AF1E976E1,order_C14817ED66FDFA,setl_6306744D291D4D,payment,2026-07-07,1681800,33635,6054,1642111,captured
pay_F230128243ABAC,order_982EEB1485A63A,setl_9EB0BD13B82360,payment,2026-07-21,441600,8831,1590,431179,captured
pay_88EE8693A17447,order_E378D798166269,setl_26733D78AE519B,payment,2026-07-16,394300,7887,1421,384992,captured
pay_9BAEB189DEAE08,order_D841A95473E1FB,setl_11695FA2FB6AEA,payment,2026-07-05,507300,10145,1825,495330,captured
pay_0F8196970A4A2A,order_7156764D6ACDDF,setl_48CA3E728F908B,payment,2026-08-13,1204000,24080,4334,1175586,captured
pay_906040F1184A41,order_B241F011391CAD,setl_5B9CC0B6EDC524,payment,2026-07-23,25800,517,92,25191,captured
pay_AAE219D27350CB,order_AAAB513D87781D,setl_66266CE6E8102C,payment,2026-07-20,2227400,44549,8019,2174832,captured
pay_B9582F74A75CA0,order_1A76B9F4C9E647,setl_B27B8A32188055,payment,2026-07-05,75900,1898,274,74108,captured
pay_4C1E8F66D1A420,order_B7E31914DC4CAE,setl_FBABD9C1CA3DB6,payment,2026-07-28,3117300,62347,17457,3043731,captured
pay_E5ABFD2340C468,order_4FB17CCE551DA8,setl_A71B6BD31D4669,payment,2026-07-30,182400,4560,656,178096,captured
pay_CC3853445DC99A,order_127E68E1017E1F,setl_FBE0935B02C137,payment,2026-07-26,135200,2705,757,132009,captured
pay_F764454A1153B7,order_A34BDB10A20933,setl_E6727AA9784573,payment,2026-07-27,3524600,88115,12687,3441422,captured
pay_AEE360010E646C,order_CE31B371B26398,setl_D32BFD684C3874,payment,2026-07-12,2435500,48710,13639,2378023,captured
pay_0CA0B9EBFDE0A1,order_4A99245F366001,setl_8F09313CB191B9,payment,2026-08-13,757100,18928,2726,739232,captured
pay_B736E960A2990B,order_24CCB09B47E29C,setl_717CA8FBC4D944,payment,2026-08-07,36500,730,204,35640,captured
pay_A8451C3B4386EE,order_0D3D5119A8DB72,setl_C3B0D00ED844C2,payment,2026-07-27,1064800,26620,3833,1039671,captured
pay_0ACB877136CECA,order_CFC0C95770E7AE,setl_C236B623775EA9,payment,2026-07-09,488000,9760,2733,476484,captured
pay_C8CAC6CD44BF5F,order_9D126A110EB542,setl_E2DF05A8FBB5AF,payment,2026-08-10,284700,7118,1025,277981,captured
pay_6AE2D057D7254F,order_83C14103154428,setl_AC49BF0CE2F705,payment,2026-07-21,269800,5397,1511,263432,captured
pay_86CFAC2FF07F44,order_668AD233D96749,setl_E0494D8EE2F311,payment,2026-09-03,1903600,38072,6853,1858675,captured
pay_C8E1EE0EE6CB23,order_B93841A58A5190,setl_F4BCB4629BB5CB,payment,2026-09-04,2066900,41337,7440,2018123,captured
pay_371A00C5BA013E,order_EA28FC7E0488EE,setl_CC2B9DF1146E73,payment,2026-09-04,58200,1164,211,56825,captured
pay_2BB6298F6CC245,order_CD6B88893058BB,setl_CC1CF22184E3E7,payment,2026-09-05,63200,1265,228,61707,captured
pay_BB57259400C665,order_541BA2C5CA4916,setl_7502E41C3290DE,payment,2026-09-04,946200,18924,3407,923869,captured
pay_0A9A592F4CFAEC,order_AF80A54F3BD97E,setl_1F46250CD0000F,payment,2026-09-04,74600,1491,269,72840,captured
pay_3F50B8B15C8459,order_A1A9AB1E4B0E9B,setl_C8E9B26EFD3457,payment,2026-09-03,368700,7374,1328,359998,captured
pay_C5A26F5810D8B5,order_2BF4994EA6336D,setl_96D3F609475A9D,payment,2026-09-04,234500,4690,845,228965,captured
pay_3AD6329B460FE7,order_4D9B4EB8BC561D,setl_04D62B3B1F0229,payment,2026-09-05,777000,15540,2798,758662,captured
pay_4742C96E75C8C6,order_7CE49F1BC2B293,setl_E7B802D48158D4,payment,2026-09-04,717400,14349,2584,700467,captured
pay_33A8C6829B95B8,order_820114EC99C08B,setl_C4D2EA75899C30,payment,2026-08-04,656000,13121,2363,640516,captured
pay_0D55D260935805DUP,order_820114EC99C08B,setl_C4D2EA75899C30,payment,2026-08-04,656000,13121,2363,640516,captured
pay_346313496C10DB,order_701975CEB1D01B,setl_6C9A215F54ED3D,payment,2026-07-22,190700,3815,687,186198,captured
pay_A10CD6A21C0A1EDUP,order_701975CEB1D01B,setl_6C9A215F54ED3D,payment,2026-07-22,190700,3815,687,186198,captured
pay_B6FB3DD01BA66E,order_CF72D435F1B583,setl_B8C1C1C2C78BF1,payment,2026-08-04,720900,14418,2595,703887,captured
pay_6894833FECD470DUP,order_CF72D435F1B583,setl_B8C1C1C2C78BF1,payment,2026-08-04,720900,14418,2595,703887,captured
pay_8435D7A532FE01,order_C5ECA3359CAEFA,setl_9AC83E23991396,payment,2026-08-03,2175900,43519,7833,2124548,captured
pay_7622D6D804C59EDUP,order_C5ECA3359CAEFA,setl_9AC83E23991396,payment,2026-08-03,2175900,43519,7833,2124548,captured
pay_AB1E87D5C7923D,order_3D628C91A11EE5,setl_9E19C3D8E69CDC,payment,2026-08-02,380100,7602,1368,371130,captured
pay_3C3979351BAABADUP,order_3D628C91A11EE5,setl_9E19C3D8E69CDC,payment,2026-08-02,380100,7602,1368,371130,captured
pay_8A2AEAD822385D,order_12553D471F24E6,setl_557CD1B5F60F65,payment,2026-08-10,5653900,113078,20354,5520468,captured
pay_45C4C0FE93D18CDUP,order_12553D471F24E6,setl_557CD1B5F60F65,payment,2026-08-10,5653900,113078,20354,5520468,captured
pay_023C9EB8488C15,order_D1CDF500F57A1C,setl_F5CC648DECCF7B,payment,2026-07-07,2262900,45257,8146,2209497,captured
pay_08B788C791669B,order_A8CAD230C9AFB0,setl_B6DB5A74D43993,payment,2026-07-19,129400,2588,465,126347,captured
pay_96DD244CE9DAEF,order_2B33D8BBDA466B,setl_1B19DCA4429E48,payment,2026-08-05,162000,3239,583,158178,captured
pay_37BEB51FB8829B,order_8BFAE8A5642114,setl_CACF18661036F7,payment,2026-08-11,59400,1189,214,57997,captured
pay_690E611DBC6619,order_4634061407D166,setl_D728F8C4CFF6ED,payment,2026-07-29,1828300,36567,6581,1785152,captured
pay_17ECCE921CC039,order_A58143A526E542,setl_CCCBF1E808B312,payment,2026-07-29,69800,1396,251,68153,captured
pay_E4B0B345D55E57,order_F82CB65A91CF90,setl_7098B7FD5D5F21,payment,2026-07-24,24900,498,90,24312,captured
pay_A81961D6291851,order_CBAAA0877EC87D,setl_59158DA1F9676A,payment,2026-07-04,5025000,100500,18091,4906409,captured
pay_39C1D6B5A2CE8C,order_099B3DD9090D32,setl_C0E0F7EF84B959,payment,2026-07-23,910500,18210,3277,889013,captured
pay_E0C393A5BE8034,order_D9329C3DCB9332,setl_B07CCC5407A18D,payment,2026-07-05,2860800,57216,10298,2793286,captured
pay_91A0949CF14FB7,order_36E8BB28650028,setl_0F0AAB4425FBC4,payment,2026-07-28,1284500,25690,4623,1254187,captured
pay_ABDEF94B6C3F99,order_44BBF9AD1F4E54,setl_FDB667E6A04F8F,payment,2026-07-04,107800,2156,388,105256,captured
pay_A3EF647E74B0B4,order_13302D474E9806,setl_9227CE611B9D95,payment,2026-07-02,52800,1057,190,51553,captured
pay_7998C792D32AE1,order_0CB66BD168E9B6,setl_589A716D67C342,payment,2026-07-10,234900,4699,845,229356,captured
pay_9B855771CC1529,order_100D35D5C7E216,setl_28A6D3FCB3F317,payment,2026-07-15,549800,10996,1979,536825,captured
pay_939DF793A78675,order_6EA39A0B4381C1,setl_5EFB511F7BED3E,payment,2026-07-20,2036900,40738,7333,1988829,captured
pay_7E5A92A8253C83,order_3370A210DD07A7,setl_431A80FFBCEFA6,payment,2026-07-26,678400,13568,2443,662389,captured
pay_F59C76C125872A,order_3BD4B89ADE0459,setl_2AFC7B703A4FE7,payment,2026-07-02,416200,8325,1497,406378,captured
pay_B8B240FF5441C5,order_DDB5005045FDC6,setl_7028F2F5660B56,payment,2026-07-17,4235200,84705,15248,4135247,captured
pay_E44B559F5FBE06,order_84A6321653774F,setl_EDF7415B72042B,payment,2026-07-07,127000,2540,456,124004,captured
pay_C5136FFD3B1539,order_E41341795E7F54,setl_84FFA9524F6449,payment,2026-08-15,158500,3170,571,154759,captured
pay_15140EEF43D45C,order_A7ED4BAB485E1F,setl_6D9ABEC038AC12,payment,2026-07-03,5346400,106928,19247,5220225,captured
pay_DC0DAE8B315E7C,order_08C7B56C7B228F,setl_02545584D53534,payment,2026-08-02,826200,16524,2974,806702,captured
pay_22E01DB0244381,order_431E083BF94E33,setl_BAFFE8DE2AFA10,payment,2026-07-02,264700,5295,953,258452,captured
pay_C9BCE8348403F5,order_85553C6F7363A9,setl_705203BF484851,payment,2026-07-14,2402100,48041,8646,2345413,captured
pay_973E711987BC7F,order_A82B751E62EB1F,setl_2FE4251E67AF1D,payment,2026-07-30,845700,16914,3044,825742,captured
pay_E82A35FAE87967_0,,setl_E41A6EA43A6B7B_0,payment,2026-07-25,861100,17221,3100,840779,captured
pay_E4313A20A573D4_1,,setl_871513A8E60960_1,payment,2026-07-25,861100,17221,3100,840779,captured
pay_03B499FEA8E209_0,,setl_8B9C72CE843758_0,payment,2026-07-13,578700,11574,2083,565043,captured
pay_4DA50D87FFB730_1,,setl_851841350D2EFF_1,payment,2026-07-13,578700,11574,2083,565043,captured
pay_F5BB4A9DE5A2A4_0,,setl_897F2B493976A9_0,payment,2026-07-15,1426000,28519,5132,1392349,captured
pay_E7A1C6EC466564_1,,setl_5C15B98983A311_1,payment,2026-07-15,1426000,28519,5132,1392349,captured
pay_BCBFB1A3482D27_0,,setl_80BEAF060F5158_0,payment,2026-07-17,1578200,31564,5682,1540954,captured
pay_E8445D183EAEB4_1,,setl_77402C4EBA5BE2_1,payment,2026-07-17,1578200,31564,5682,1540954,captured
pay_EB91A11BF87DE7_0,,setl_A97469CE721298_0,payment,2026-07-31,567800,11355,2044,554401,captured
pay_B3BC06655349E3_1,,setl_97493DAD0F3402_1,payment,2026-07-31,567800,11355,2044,554401,captured
pay_9C68C82B7BE1AF_0,,setl_A50F8D09AA7D50_0,payment,2026-07-13,972400,19448,3501,949451,captured
pay_DCC5715B896036_1,,setl_276A78B0B9DA9E_1,payment,2026-07-13,972400,19448,3501,949451,captured
