record_id,injected_scenario,expected_match_status,expected_exception_type
ORD-2026070131,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070132,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070133,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070134,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070135,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070136,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070137,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070138,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070139,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070140,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070141,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070142,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070143,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070144,fee_tax_mismatch,FEE_MISMATCH_OR_TAX_MISMATCH,FEE_MISMATCH_OR_TAX_MISMATCH
ORD-2026070145,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070146,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070147,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070148,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070149,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070150,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070151,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070152,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070153,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070154,missing_settlement,MISSING_SETTLEMENT,MISSING_SETTLEMENT
ORD-2026070155,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070156,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070157,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070158,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070159,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070160,duplicate_payment,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT
ORD-2026070161,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070162,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070163,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070164,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070165,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070166,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070167,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070168,amount_mismatch,AMOUNT_MISMATCH,AMOUNT_MISMATCH
ORD-2026070169,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070170,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070171,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070172,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070173,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070174,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070175,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070176,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070177,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070178,delayed_settlement,EXACT_MATCH,DELAYED_SETTLEMENT_FLAG_OPTIONAL
ORD-2026070179,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070180,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070181,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070182,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070183,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070184,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070185,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070186,malformed_input,INPUT_VALIDATION_ERROR,INPUT_VALIDATION_ERROR
ORD-2026070187,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
ORD-2026070189,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
ORD-2026070191,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
ORD-2026070193,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
ORD-2026070195,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
ORD-2026070197,ambiguous_composite,AMBIGUOUS_MATCH,AMBIGUOUS_MATCH
